step,learning_rate,discount_factor,exploration,exploration_decay,min_exploration
0,0.1,0.99,3.538527688343134e-44,0.999,0
state,value
SSSS00R00W,-20.961735784438268
S000R0G00W,-8.368097910454138
000GG0000W,26.293751385187768
00GG0000W,27.05896942099535
00S00W,-6.8801011563548595
00SS00W,-5.122690596199989
0G0000R0W,15.865530372781269
G0000R0W,16.655366313609974
SSR0000W,-21.949920054183035
0S00G00W,-2.7073956057857176
SR00G0W,-4.9766985474438785
0SG00W,-1.9056271449190205
S0S0000W,-25.522352866072215
SSS00GW,-22.210137179317258
0SSG0000W,-7.287674987236012
0SSS0W,-11.050133829038323
000S0000W,0.5185991038926052
SS00R000W,-23.813026181807626
SSS00R000W,-20.456458009654064
SSSG00W,-20.480285829726505
SSG00W,-13.23057449896034
SSS0G0W,-18.332248552794855
SSS0GW,-23.44373526263011
SSS0000G0W,-20.758058238433154
00G00000RW,15.69837411864134
R0S0W,-14.81419824538719
0SS00000W,-7.047197944367138
0S000GW,-3.459468067627541
0G0G00000W,27.991861387409628
G0G00000W,29.070191160615657
S0SW,-29.22072858202622
SS0SW,-33.440266684147105
SSSSSS00W,-39.7956402487225
SSSSSS000W,-21.35280175676196
00G0G0000W,26.590075231627296
G0G0000W,29.072984292534965
0S0G0000W,3.6187022818195396
S0S00W,-26.607860193066834
SS0S00W,-31.339787857047064
0SSS00W,-12.369049217908765
0S0S0000W,-0.8776709220339891
0SSS0000W,-15.321143408799564
S0SS00000W,-21.064862218363707
SS0R000000W,0
S0S0W,-25.815325957248238
00000RG00W,5.514948636756067
0000RG00W,6.371568423424897
0SS000000W,-8.70861817561112
00G00000GW,22.625902349309445
0G00000GW,23.65295772058725
SS000R0000W,0
00000GG00W,23.95258266550689
0000GG00W,24.958632631566246
000GG00W,25.876305888152487
S0GG00W,4.19042507514846
SS0000R00W,-20.536844243227673
G0GW,29.10929355131109
00SS00000W,-4.340678500808908
00S00000W,-4.241299630040202
0GGW,28.394192242722635
GGW,29.917371605243414
0G00R00W,15.59177165745126
0G0000G0W,24.46488062603124
G0000G0W,26.002751725952397
S00S000G00W,0
00S00G0W,1.119311665705691
0R000000GW,1.4796387930090489
R000000GW,2.542718473644511
000S000W,-2.9720092495104025
S000S000W,-22.139806585908477
G00000GW,24.945396750321382
S0S00000W,-26.9289797819457
SSSSSSS00W,-20.666342460108215
S000G0RW,-3.865011521324327
G000R00W,17.117751139887783
0000RG000W,5.7102752629456335
000SW,-4.042688071840852
00GG00000W,27.656708754798952
0GG00000W,28.684636571093943
GG00000W,30.745134977302694
GS0000000W,17.646598275165115
00R00G000W,4.646444545060956
0G000000GW,22.829648754819743
0SR000000W,-14.524842002974058
G000000GW,24.05176679969467
SSSSS0G00W,-20.205049946966465
SSSS0G00W,-24.55484882766843
0GR00000W,14.93533814247281
GR00000W,18.069884428877106
SGR00000W,-1.6861571637096038
G00G000W,27.488831945401813
00000G00RW,13.350734511361642
0000G00RW,14.44369772269595
R000G00W,4.874027823593399
00000RG0W,5.344361947315247
0000RG0W,5.223405703647667
000RG0W,5.941041676636521
00RG0W,6.192103169150444
0RG0W,6.691565911663591
RG0W,7.967790368778217
0R0G00000W,6.260682355701154
00S000R00W,-3.439350428081672
0S000R00W,-2.834283665096402
0000RGW,7.235909344239832
S0000RGW,-7.986626675004535
0000SW,0.4068403983211315
000G000G0W,23.420463122367153
0G000G0W,25.38419088796234
000G0000GW,22.594470134679796
00G0000GW,23.60261363472805
0G0000GW,25.05044292062319
G0000GW,26.48541760016704
00G00G000W,24.7005882599645
0R0000GW,3.730466985341064
R0000GW,4.149437234603853
SS00SW,-29.874537535866192
00S0000G0W,1.6567778981974026
0SSSSS000W,-7.726208623338944
0000SSW,-0.8822730442322438
S0000SSW,-21.05456610504366
SSSSSSS0W,-39.924744840400464
SSS0000RW,-21.19577095212447
SSSS0000RW,-20.995091273522757
RS00W,-15.982325346237964
SRS00W,-17.70617685843688
SSRS00W,-12.127215160117458
SSSR000W,-21.162793174704948
SSSSR000W,-20.134397817654694
0GG000W,28.13982436472695
S0GG000W,3.8915244147920487
0000GG000W,24.957181650832837
000GG000W,25.915496848319755
SSSR00W,-21.315117917589955
SSS0R00W,-20.729803078590464
S0S000000W,-20.593500068377555
SSSSSS00GW,-20.435803176838846
SSSSS00GW,-26.457368191775053
S000G0GW,1.7024384999958173
S00G0RW,-2.9050062098461016
SR0GW,-6.486271923181145
SS0R0GW,-6.4297060648387525
000S00W,-0.9058447649475274
SSSSSSSW,-37.69623481704483
00SS000W,-2.950912000294158
S00S0000W,-22.945753871085483
000S00G0W,1.9558260978562143
G0RW,17.86404698144715
SG0RW,-0.7350528539207993
RS0W,-16.716803060183626
000RG0000W,6.600967260364984
000RGW,6.615876185239361
000GR00W,14.521976331996237
00GR00W,15.591092324990628
0GR00W,17.74401297547612
GR00W,22.47750940328964
GS00000R0W,0.9712912637370454
G0000000RW,16.408749473653504
SSS0G000W,-23.225841989949373
0SS00R00W,-9.209031550770046
SSSRW,-20.415796360153788
0SS0000W,-10.858590537857104
00000SW,2.651512380499282
S00S000W,-20.592548038331806
00SSS0000W,-6.984607752581797
SS0S0000W,-35.35736724111136
SSS0S0000W,-21.236945703080135
SSS0000GW,-25.040904146662694
00R0000GW,3.0302921143920347
S0R0000GW,-11.181304348226526
S0S0R0W,-10.958531309935832
R00S00000W,-12.166794334416972
0SS000W,-7.381816319611248
0SG0W,-2.151752403139595
0S000G00W,0.9490788007545239
S0G00GW,1.9652590521457252
SS000R000W,-21.25017814641644
RG000000W,8.037359488613664
000S0G000W,4.09335000883568
000S0W,-0.8502479512615124
SSSR0W,-19.638948362669787
SSSSR0W,-20.935435729265023
S000S00W,-19.940370073815092
SSSSSR0W,-19.962167999016987
00SSS000W,-6.53909373309164
0SSS000W,-10.02058275825866
SSSSSS0GW,-24.281055255131974
SSS00R0W,-21.545787907735907
SSSS00R0W,-21.402763878332802
SSSSS00R0W,-21.089683587537635
0000S0000W,2.0823481723755153
0SSSS0000W,-7.305351312228545
0000S000W,-0.278585687924808
S000SW,-21.445834089455715
SS000SW,-25.439527312613905
0S000SW,-3.2960271196500064
0SSSSSW,-7.193765869062194
00S0S000W,1.0090038598287734
00SSS00GW,-4.3192898124497345
00000S0W,2.2966791583718043
0000S0W,0.546649848682879
S0000S0W,-18.089262785659244
S000R0GW,-7.213579461398967
R00G0000W,6.940123012334664
000000RG0W,4.760775909718644
G000000RW,17.49510889464087
S00S00W,-21.247682799673694
SSSG0000W,-23.847075761415798
SSSS0RW,-21.98004269489474
SSSS00RW,-21.15249629164599
SSSS000RW,-20.274315679446126
0SS00W,-8.96859233889434
S0SS00W,-24.608046848397603
S0SS000W,-21.228401278342552
R0000G000W,4.384128044016606
RSW,-19.605291314094366
SSSSSSSSW,-40.52859899591026
SSSSSSSS0W,-20.875384226372425
